reference_model,attribution_scale,sample_id,feature_name,reference_absolute_rank,reference_signed_attribution,reference_absolute_attribution,reference_is_top_five
logistic_regression,DoS log-odds,pilot_003,NUM_PKTS_128_TO_256_BYTES,31,-0.0108225004002,0.0108225004002,False
logistic_regression,DoS log-odds,pilot_003,NUM_PKTS_1024_TO_1514_BYTES,32,-0.00787524107082,0.00787524107082,False
logistic_regression,DoS log-odds,pilot_003,RETRANSMITTED_OUT_BYTES,33,-0.00688697030907,0.00688697030907,False
logistic_regression,DoS log-odds,pilot_003,OUT_BYTES,34,-0.00685672994134,0.00685672994134,False
logistic_regression,DoS log-odds,pilot_003,RETRANSMITTED_OUT_PKTS,35,-0.00622953877899,0.00622953877899,False
logistic_regression,DoS log-odds,pilot_003,RETRANSMITTED_IN_BYTES,36,-0.00570807480228,0.00570807480228,False
logistic_regression,DoS log-odds,pilot_003,OUT_PKTS,37,-0.00450441721881,0.00450441721881,False
logistic_regression,DoS log-odds,pilot_003,NUM_PKTS_512_TO_1024_BYTES,38,-0.00362411407156,0.00362411407156,False
logistic_regression,DoS log-odds,pilot_003,IN_BYTES,39,-0.00282150147167,0.00282150147167,False
logistic_regression,DoS log-odds,pilot_003,DST_TO_SRC_IAT_MAX,40,-0.000914890844718,0.000914890844718,False
logistic_regression,DoS log-odds,pilot_003,TCP_FLAGS,41,-1.74657716488e-05,1.74657716488e-05,False
logistic_regression,DoS log-odds,pilot_003,CLIENT_TCP_FLAGS,42,-1.74657716488e-05,1.74657716488e-05,False
logistic_regression,DoS log-odds,pilot_003,L4_SRC_PORT,43,0,0,False
logistic_regression,DoS log-odds,pilot_003,L4_DST_PORT,44,0,0,False
logistic_regression,DoS log-odds,pilot_003,SRC_TO_DST_IAT_MIN,45,0,0,False
logistic_regression,DoS log-odds,pilot_003,DST_TO_SRC_IAT_MIN,46,0,0,False
logistic_regression,DoS log-odds,pilot_004,MAX_TTL,1,1.3336141307,1.3336141307,True
logistic_regression,DoS log-odds,pilot_004,MIN_TTL,2,1.33055043732,1.33055043732,True
logistic_regression,DoS log-odds,pilot_004,DST_TO_SRC_IAT_AVG,3,0.293946193146,0.293946193146,True
logistic_regression,DoS log-odds,pilot_004,DST_TO_SRC_AVG_THROUGHPUT,4,0.273984350776,0.273984350776,True
logistic_regression,DoS log-odds,pilot_004,L7_PROTO,5,0.241717131514,0.241717131514,True
logistic_regression,DoS log-odds,pilot_004,MIN_IP_PKT_LEN,6,0.232374672979,0.232374672979,False
logistic_regression,DoS log-odds,pilot_004,L4_DST_PORT,7,-0.202222770953,0.202222770953,False
logistic_regression,DoS log-odds,pilot_004,PROTOCOL,8,0.149038899244,0.149038899244,False
logistic_regression,DoS log-odds,pilot_004,SRC_TO_DST_AVG_THROUGHPUT,9,0.107948303332,0.107948303332,False
logistic_regression,DoS log-odds,pilot_004,TCP_WIN_MAX_OUT,10,0.107735061033,0.107735061033,False
logistic_regression,DoS log-odds,pilot_004,FTP_COMMAND_RET_CODE,11,0.0972892843372,0.0972892843372,False
logistic_regression,DoS log-odds,pilot_004,LONGEST_FLOW_PKT,12,0.0789337174744,0.0789337174744,False
logistic_regression,DoS log-odds,pilot_004,MAX_IP_PKT_LEN,13,0.0789337174744,0.0789337174744,False
logistic_regression,DoS log-odds,pilot_004,DNS_QUERY_TYPE,14,0.0618723305133,0.0618723305133,False
logistic_regression,DoS log-odds,pilot_004,NUM_PKTS_UP_TO_128_BYTES,15,0.0508200081183,0.0508200081183,False
logistic_regression,DoS log-odds,pilot_004,IN_PKTS,16,0.0376461864059,0.0376461864059,False
logistic_regression,DoS log-odds,pilot_004,DST_TO_SRC_IAT_STDDEV,17,0.037155059452,0.037155059452,False
logistic_regression,DoS log-odds,pilot_004,TCP_WIN_MAX_IN,18,-0.0244269140685,0.0244269140685,False
logistic_regression,DoS log-odds,pilot_004,RETRANSMITTED_IN_PKTS,19,0.0198643913754,0.0198643913754,False
logistic_regression,DoS log-odds,pilot_004,DST_TO_SRC_IAT_MAX,20,-0.0193163692851,0.0193163692851,False
logistic_regression,DoS log-odds,pilot_004,DNS_TTL_ANSWER,21,0.01842960932,0.01842960932,False
logistic_regression,DoS log-odds,pilot_004,FLOW_DURATION_MILLISECONDS,22,-0.017886119482,0.017886119482,False
logistic_regression,DoS log-odds,pilot_004,DURATION_IN,23,-0.0166994410805,0.0166994410805,False
logistic_regression,DoS log-odds,pilot_004,NUM_PKTS_512_TO_1024_BYTES,24,-0.0127843719069,0.0127843719069,False
logistic_regression,DoS log-odds,pilot_004,TCP_FLAGS,25,0.0115131081223,0.0115131081223,False
logistic_regression,DoS log-odds,pilot_004,CLIENT_TCP_FLAGS,26,0.0115131081223,0.0115131081223,False
logistic_regression,DoS log-odds,pilot_004,SERVER_TCP_FLAGS,27,0.0115131081223,0.0115131081223,False
logistic_regression,DoS log-odds,pilot_004,DURATION_OUT,28,-0.0113249801598,0.0113249801598,False
logistic_regression,DoS log-odds,pilot_004,SHORTEST_FLOW_PKT,29,-0.0107791757633,0.0107791757633,False
logistic_regression,DoS log-odds,pilot_004,NUM_PKTS_1024_TO_1514_BYTES,30,-0.00871456593522,0.00871456593522,False
logistic_regression,DoS log-odds,pilot_004,ICMP_TYPE,31,-0.00855255823817,0.00855255823817,False
logistic_regression,DoS log-odds,pilot_004,ICMP_IPV4_TYPE,32,-0.00855255823817,0.00855255823817,False
logistic_regression,DoS log-odds,pilot_004,SRC_TO_DST_IAT_AVG,33,-0.00808839149808,0.00808839149808,False
logistic_regression,DoS log-odds,pilot_004,NUM_PKTS_256_TO_512_BYTES,34,-0.00785708317116,0.00785708317116,False
logistic_regression,DoS log-odds,pilot_004,RETRANSMITTED_OUT_BYTES,35,-0.0077467260144,0.0077467260144,False
logistic_regression,DoS log-odds,pilot_004,OUT_BYTES,36,-0.00771628593252,0.00771628593252,False
logistic_regression,DoS log-odds,pilot_004,RETRANSMITTED_OUT_PKTS,37,-0.00679477743438,0.00679477743438,False
logistic_regression,DoS log-odds,pilot_004,NUM_PKTS_128_TO_256_BYTES,38,-0.00551560034059,0.00551560034059,False
logistic_regression,DoS log-odds,pilot_004,OUT_PKTS,39,-0.00527849002299,0.00527849002299,False
logistic_regression,DoS log-odds,pilot_004,RETRANSMITTED_IN_BYTES,40,-0.00415643152535,0.00415643152535,False
logistic_regression,DoS log-odds,pilot_004,IN_BYTES,41,-0.00215341221703,0.00215341221703,False
logistic_regression,DoS log-odds,pilot_004,SRC_TO_DST_IAT_MAX,42,0.00161935845955,0.00161935845955,False
logistic_regression,DoS log-odds,pilot_004,SRC_TO_DST_IAT_STDDEV,43,-0.000947789619666,0.000947789619666,False
logistic_regression,DoS log-odds,pilot_004,L4_SRC_PORT,44,0,0,False
logistic_regression,DoS log-odds,pilot_004,SRC_TO_DST_IAT_MIN,45,0,0,False
logistic_regression,DoS log-odds,pilot_004,DST_TO_SRC_IAT_MIN,46,0,0,False
logistic_regression,DoS log-odds,pilot_005,SERVER_TCP_FLAGS,1,1.06974816291,1.06974816291,True
logistic_regression,DoS log-odds,pilot_005,MIN_IP_PKT_LEN,2,-0.939016831026,0.939016831026,True
logistic_regression,DoS log-odds,pilot_005,MIN_TTL,3,-0.751375024111,0.751375024111,True
logistic_regression,DoS log-odds,pilot_005,MAX_TTL,4,-0.750671635119,0.750671635119,True
logistic_regression,DoS log-odds,pilot_005,L7_PROTO,5,-0.692084173459,0.692084173459,True
logistic_regression,DoS log-odds,pilot_005,DST_TO_SRC_IAT_AVG,6,0.367125975697,0.367125975697,False
logistic_regression,DoS log-odds,pilot_005,TCP_WIN_MAX_IN,7,-0.318832802989,0.318832802989,False
logistic_regression,DoS log-odds,pilot_005,DST_TO_SRC_AVG_THROUGHPUT,8,0.266735821941,0.266735821941,False
logistic_regression,DoS log-odds,pilot_005,LONGEST_FLOW_PKT,9,-0.181251648665,0.181251648665,False
logistic_regression,DoS log-odds,pilot_005,MAX_IP_PKT_LEN,10,-0.181251648665,0.181251648665,False
logistic_regression,DoS log-odds,pilot_005,PROTOCOL,11,0.160254337263,0.160254337263,False
logistic_regression,DoS log-odds,pilot_005,TCP_WIN_MAX_OUT,12,-0.141672783664,0.141672783664,False
logistic_regression,DoS log-odds,pilot_005,FTP_COMMAND_RET_CODE,13,0.131849914707,0.131849914707,False
logistic_regression,DoS log-odds,pilot_005,DST_TO_SRC_IAT_STDDEV,14,0.124532628102,0.124532628102,False
logistic_regression,DoS log-odds,pilot_005,DNS_QUERY_TYPE,15,0.100407717627,0.100407717627,False
logistic_regression,DoS log-odds,pilot_005,ICMP_TYPE,16,-0.0896333405783,0.0896333405783,False
logistic_regression,DoS log-odds,pilot_005,ICMP_IPV4_TYPE,17,-0.0896333405783,0.0896333405783,False
logistic_regression,DoS log-odds,pilot_005,SRC_TO_DST_AVG_THROUGHPUT,18,0.0692810445182,0.0692810445182,False
logistic_regression,DoS log-odds,pilot_005,TCP_FLAGS,19,-0.063417026278,0.063417026278,False
logistic_regression,DoS log-odds,pilot_005,NUM_PKTS_UP_TO_128_BYTES,20,0.0562171896557,0.0562171896557,False
logistic_regression,DoS log-odds,pilot_005,CLIENT_TCP_FLAGS,21,0.0288322503873,0.0288322503873,False
logistic_regression,DoS log-odds,pilot_005,IN_PKTS,22,0.0247328937758,0.0247328937758,False
logistic_regression,DoS log-odds,pilot_005,DNS_TTL_ANSWER,23,0.0235849939136,0.0235849939136,False
logistic_regression,DoS log-odds,pilot_005,SHORTEST_FLOW_PKT,24,-0.0163645472037,0.0163645472037,False
logistic_regression,DoS log-odds,pilot_005,FLOW_DURATION_MILLISECONDS,25,-0.015535241298,0.015535241298,False
logistic_regression,DoS log-odds,pilot_005,DST_TO_SRC_IAT_MAX,26,-0.0152442127428,0.0152442127428,False
logistic_regression,DoS log-odds,pilot_005,SRC_TO_DST_IAT_AVG,27,-0.0144584012251,0.0144584012251,False
logistic_regression,DoS log-odds,pilot_005,DURATION_IN,28,-0.014211792951,0.014211792951,False
logistic_regression,DoS log-odds,pilot_005,NUM_PKTS_128_TO_256_BYTES,29,-0.0136063133124,0.0136063133124,False
logistic_regression,DoS log-odds,pilot_005,NUM_PKTS_256_TO_512_BYTES,30,-0.0130381235432,0.0130381235432,False
logistic_regression,DoS log-odds,pilot_005,RETRANSMITTED_IN_PKTS,31,0.0116628901079,0.0116628901079,False
logistic_regression,DoS log-odds,pilot_005,NUM_PKTS_512_TO_1024_BYTES,32,0.00888321501475,0.00888321501475,False
logistic_regression,DoS log-odds,pilot_005,NUM_PKTS_1024_TO_1514_BYTES,33,-0.00837545889272,0.00837545889272,False
logistic_regression,DoS log-odds,pilot_005,RETRANSMITTED_OUT_BYTES,34,-0.00798881485475,0.00798881485475,False
logistic_regression,DoS log-odds,pilot_005,OUT_BYTES,35,-0.00794815058112,0.00794815058112,False
logistic_regression,DoS log-odds,pilot_005,RETRANSMITTED_OUT_PKTS,36,-0.00733894317771,0.00733894317771,False
logistic_regression,DoS log-odds,pilot_005,DURATION_OUT,37,-0.00715204216025,0.00715204216025,False
logistic_regression,DoS log-odds,pilot_005,OUT_PKTS,38,-0.00556081787084,0.00556081787084,False
logistic_regression,DoS log-odds,pilot_005,SRC_TO_DST_IAT_STDDEV,39,-0.00420998636744,0.00420998636744,False
logistic_regression,DoS log-odds,pilot_005,SRC_TO_DST_IAT_MAX,40,0.000934085170844,0.000934085170844,False
logistic_regression,DoS log-odds,pilot_005,IN_BYTES,41,-0.000142270156385,0.000142270156385,False
logistic_regression,DoS log-odds,pilot_005,RETRANSMITTED_IN_BYTES,42,-0.000131892238325,0.000131892238325,False
logistic_regression,DoS log-odds,pilot_005,L4_SRC_PORT,43,0,0,False
logistic_regression,DoS log-odds,pilot_005,L4_DST_PORT,44,0,0,False
logistic_regression,DoS log-odds,pilot_005,SRC_TO_DST_IAT_MIN,45,0,0,False
logistic_regression,DoS log-odds,pilot_005,DST_TO_SRC_IAT_MIN,46,0,0,False
logistic_regression,DoS log-odds,pilot_006,MIN_IP_PKT_LEN,1,-2.95202676451,2.95202676451,True
logistic_regression,DoS log-odds,pilot_006,MAX_TTL,2,-0.75260007493,0.75260007493,True
logistic_regression,DoS log-odds,pilot_006,MIN_TTL,3,-0.743834924585,0.743834924585,True
logistic_regression,DoS log-odds,pilot_006,DNS_TTL_ANSWER,4,-0.736627511705,0.736627511705,True
logistic_regression,DoS log-odds,pilot_006,TCP_WIN_MAX_IN,5,-0.448569724426,0.448569724426,True
logistic_regression,DoS log-odds,pilot_006,TCP_WIN_MAX_OUT,6,-0.389343299949,0.389343299949,False
logistic_regression,DoS log-odds,pilot_006,LONGEST_FLOW_PKT,7,0.265258109541,0.265258109541,False
logistic_regression,DoS log-odds,pilot_006,MAX_IP_PKT_LEN,8,0.265258109541,0.265258109541,False
logistic_regression,DoS log-odds,pilot_006,FTP_COMMAND_RET_CODE,9,0.206445271329,0.206445271329,False
logistic_regression,DoS log-odds,pilot_006,DST_TO_SRC_IAT_AVG,10,-0.163737820803,0.163737820803,False
logistic_regression,DoS log-odds,pilot_006,DST_TO_SRC_AVG_THROUGHPUT,11,0.15405318452,0.15405318452,False
logistic_regression,DoS log-odds,pilot_006,DST_TO_SRC_IAT_STDDEV,12,-0.125711959835,0.125711959835,False
logistic_regression,DoS log-odds,pilot_006,NUM_PKTS_UP_TO_128_BYTES,13,0.091484462527,0.091484462527,False
logistic_regression,DoS log-odds,pilot_006,PROTOCOL,14,-0.0903961237584,0.0903961237584,False
logistic_regression,DoS log-odds,pilot_006,TCP_FLAGS,15,-0.0903961237584,0.0903961237584,False
logistic_regression,DoS log-odds,pilot_006,CLIENT_TCP_FLAGS,16,-0.0903961237584,0.0903961237584,False
logistic_regression,DoS log-odds,pilot_006,SERVER_TCP_FLAGS,17,-0.0902011021225,0.0902011021225,False
logistic_regression,DoS log-odds,pilot_006,ICMP_TYPE,18,-0.0902011021225,0.0902011021225,False
logistic_regression,DoS log-odds,pilot_006,ICMP_IPV4_TYPE,19,-0.0902011021225,0.0902011021225,False
